name,category,type,source
"SPECT Scan","Nuclear Medicine","imaging","NCBI"
"Bone Scan","Nuclear Medicine","imaging","Clinical practice"
"DEXA Scan (Bone Density)","Radiology / Imaging","imaging","Clinical practice"
"Fluoroscopy","Radiology / Imaging","imaging","Wikipedia"
"Angiography","Radiology / Imaging","imaging","Clinical practice"
"Coronary Angiography","Cardiology / Imaging","imaging","Wikipedia"
"ECG (Electrocardiogram)","Cardiology","procedure","Wikipedia / AiClinic seed"
"Holter Monitor (24-hour ECG)","Cardiology","procedure","Clinical practice"
"Exercise Stress Test","Cardiology","procedure","Clinical practice"
"Echocardiogram","Cardiology","imaging","Clinical practice"
"Cardiac MRI","Cardiology / Imaging","imaging","Clinical practice"
"Coronary Catheterization","Cardiology","procedure","Wikipedia"
"Esophagogastroduodenoscopy (EGD / Upper Endoscopy)","Gastroenterology / Endoscopy","procedure","Wikipedia"
"Colonoscopy","Gastroenterology / Endoscopy","procedure","Wikipedia"
"Sigmoidoscopy","Gastroenterology / Endoscopy","procedure","Clinical practice"
"Capsule Endoscopy","Gastroenterology / Endoscopy","procedure","Wikipedia"
"ERCP (Endoscopic Retrograde Cholangiopancreatography)","Gastroenterology / Endoscopy","procedure","Wikipedia"
"Esophageal Manometry","Gastroenterology","procedure","Wikipedia"
"Esophageal pH Monitoring","Gastroenterology","procedure","Wikipedia"
"Liver Biopsy","Pathology / Procedure","procedure","Wikipedia"
"Spirometry","Pulmonary Function","procedure","Clinical practice"
"Pulmonary Function Test (PFT)","Pulmonary Function","procedure","Clinical practice"
"Peak Flow Measurement","Pulmonary Function","procedure","Clinical practice"
"Bronchoscopy","Pulmonary / Endoscopy","procedure","Clinical practice"
"EEG (Electroencephalogram)","Neurology","procedure","Clinical practice"
"EMG (Electromyography)","Neurology","procedure","Clinical practice"
"Nerve Conduction Study","Neurology","procedure","Clinical practice"
"Lumbar Puncture (Spinal Tap)","Neurology / Procedure","procedure","Clinical practice"
"Electronystagmography (ENG)","ENT / Neurology","procedure","Wikipedia"
"Videonystagmography (VNG)","ENT / Neurology","procedure","Wikipedia"
"Audiometry (Hearing Test)","ENT / Audiology","procedure","Wikipedia"
"Laryngoscopy","ENT","procedure","Wikipedia"
"Tympanometry","ENT / Audiology","procedure","Clinical practice"
"Skin Biopsy","Dermatology / Pathology","procedure","Wikipedia"
"Skin Allergy Test (Patch Test)","Dermatology / Immunology","procedure","Wikipedia"
"Visual Field Test","Ophthalmology","procedure","Wikipedia"
"Optical Coherence Tomography (OCT)","Ophthalmology / Imaging","imaging","Wikipedia"
"Dilated Fundus Examination","Ophthalmology","procedure","Wikipedia"
"Tonometry (Eye Pressure)","Ophthalmology","procedure","Clinical practice"
"Pap Smear (Cervical Cytology)","Gynaecology","laboratory","Clinical practice"
"HPV Test","Gynaecology / Molecular","laboratory","Clinical practice"
"Obstetric Ultrasound","Obstetrics / Imaging","imaging","Clinical practice"
"Amniocentesis","Obstetrics / Procedure","procedure","Clinical practice"
"Chorionic Villus Sampling (CVS)","Obstetrics / Procedure","procedure","Clinical practice"
"Cystoscopy","Urology","procedure","Clinical practice"
"Uroflowmetry","Urology","procedure","Clinical practice"
"Prostate Biopsy","Urology / Pathology","procedure","Clinical practice"
"Joint Aspiration (Arthrocentesis)","Rheumatology / Procedure","procedure","Clinical practice"
"Synovial Fluid Analysis","Rheumatology / Laboratory","laboratory","Clinical practice"
"Fine Needle Aspiration (FNA)","Pathology / Cytology","procedure","Clinical practice"
"Core Needle Biopsy","Pathology","procedure","Clinical practice"
"Bone Marrow Biopsy","Haematology / Pathology","procedure","Clinical practice"
"Histopathology Examination","Histopathology / Anatomic Pathology","laboratory","Clinical practice"
"Fasting Blood Glucose","Biochemistry / Chemical Pathology","laboratory","AiClinic seed / MedlinePlus"
"HbA1c (Glycated Haemoglobin)","Biochemistry / Chemical Pathology","laboratory","AiClinic seed / Fullscript"
"Liver Function Test (LFT)","Biochemistry / Chemical Pathology","laboratory_panel","AiClinic seed"
"Renal Function Test (RFT)","Biochemistry / Chemical Pathology","laboratory_panel","Clinical practice"
"Thyroid Panel","Endocrine / Biochemistry","laboratory_panel","AiClinic seed"
"Prostate-Specific Antigen (PSA)","Biochemistry / Chemical Pathology","laboratory","Fullscript"
"Vitamin D (25-Hydroxyvitamin D)","Biochemistry / Chemical Pathology","laboratory","Fullscript"
"Vitamin B12","Biochemistry / Chemical Pathology","laboratory","MedlinePlus"
"Folate (Folic Acid)","Biochemistry / Chemical Pathology","laboratory","MedlinePlus"
"Iron Studies (Ferritin, TIBC, Transferrin)","Haematology / Biochemistry","laboratory_panel","Clinical practice"
"D-Dimer","Haematology","laboratory","Cleveland Clinic"
"Troponin","Cardiology / Biochemistry","laboratory","Clinical practice"
"BNP / NT-proBNP","Cardiology / Biochemistry","laboratory","Clinical practice"
"C-Reactive Protein (CRP)","Immunology / Biochemistry","laboratory","Fullscript"
"Erythrocyte Sedimentation Rate (ESR)","Haematology","laboratory","Fullscript"
"Kidney Stone Analysis","Urine Studies","laboratory","MedlinePlus"
"Pregnancy Test (Urine hCG)","Biochemistry","laboratory","MedlinePlus"
"HIV Screen","Virology","laboratory","Clinical practice"
"Hepatitis Panel","Virology","laboratory_panel","Clinical practice"
"COVID-19 PCR Test","Molecular Microbiology","laboratory","Clinical practice"
"Influenza PCR","Molecular Microbiology","laboratory","Clinical practice"
"Strep Throat Rapid Test","Microbiology","laboratory","Clinical practice"
"Whooping Cough (Pertussis) Test","Microbiology","laboratory","MedlinePlus"
"Zika Virus Test","Virology","laboratory","MedlinePlus"
"Yeast Infection Test","Microbiology","laboratory","MedlinePlus"
"1,25-dihydroxy vitamin D (DHVD)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"17 OHP (blood spot)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"17 OHP (serum)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"A1AT","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Abdominal mass FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Abscesses and Deep-Seated Wound Infections","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Acetyl Choline Receptor Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Acid base status","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Acid fast bacilli (mycobacteria) Special Stain","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"ACR","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Activated partial thromboplastin time","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Actual bicarbonate","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Acute kidney injury score","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Acute Leukaemia Panel","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Adenovirus","Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Adenovirus (respiratory infection)","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Adenovirus 40/41 (Enteric) PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Adrenal antibody","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Adrenal FNA","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"AFP","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"AKI","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Alanine Aminotransferase","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Albumin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Albumin Creatinine Ratio (ACR)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Albumin excretion (urine micro albumin)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Aldosterone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Alkaline Phosphatase","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Alkaline Phosphate isoenzymes","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Allergen Specific IgE","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"ALP","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Alpha-1-Antitrypsin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Alpha-feto-protein","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"ALT","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"AMH","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Amikacin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Aminotransferase","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ammonia","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"ANA","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"ANCA","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Androstenedione","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anion-Gap","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti C1q","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti HBs","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti Myelin oligodendrocyte glycoprotein (MOG) Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti-Basal Ganglia Abs","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Antibiotic Susceptibility Tests","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Antibody screen and save serum","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Antibody titre","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anticoagulant Control – Heparin control; Oral Anticoagulant Control (INR)","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti-Cyclic citrullinated peptide (CCP)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti-HCV antibody screen and confirmation","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti-Hepatitis Bs antibody Virology","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti-HIV 1 and 2 antibody and p24 antigen screen","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Antimicrobial Susceptibility Test","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti-Müllerian Hormone, AMH","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Anti-neutrophil cytoplasmic antibody (ANCA)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Antinuclear antibody (ANA)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Antithrombin","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"AP100 Alternative Pathway Haemolytic Complement","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"APTT","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Aquaporin 4","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ascitic fluid","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"ASO","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Aspartate Aminotransferase","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Aspergillus fumigatus precipitins","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Aspergillus galactomannan","Mycology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Aspergillus PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Aspergillus PCR on respiratory samples","Mycology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"AST","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Astrovirus PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Autoimmune diabetes marker panel","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Avian precipitins","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"B Cell Maturation Panel","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bartonella (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bence Jones protein (Urinary light chains) Urine immunofixation","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Beta 2 Glycoprotein (IgG and IgM)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Beta Hydroxybutyrate","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bicarbonate","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bile acids","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bile duct brushings","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bilharzia","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bilirubin (conjugated/direct)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bilirubin (total)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"BK virus PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bladder washings","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Blastomyces (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bleeding Time","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Blood Cultures","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Blood group","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Blood Transfusion","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bloodspot 17-hydroxyprogesterone","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"BNP (N-terminal pro BNP)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bocavirus PCR (referral)","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bone marrow report","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bordetella pertussis culture","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bordetella pertussis PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Breath Hydrogen Test","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bronchial brushings","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bronchial trap","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Bronchoalveolar lavage","Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Brucella (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Busulphan","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"C1 esterase inhibitor","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"C1 esterase inhibitor functional test","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"C1q","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"C3 nephritic factor","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CA125","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Caeruloplasmin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Calcium (blood and urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Calcium ionized","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Calcium, plasma, total","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Calprotectin (faeces)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Campylobacter serology (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"cANCA","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Candida PCR","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Candida precipitins (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Carbamazepine","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Carbapenemase-Producing Enterobacteriaceae (CPE) Screen","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Carboxyhaemoglobin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cardiac muscle antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cardiolipin (IgG and IgM) antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CASPR & LGi1 Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Catecholamines (urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CCP","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CD34 (Stem cells)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CD4 count (T cell count)","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CEA","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cerebrospinal fluid","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cervical Cytology","Gynaecological Cytology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CH50 complement activity Classical Pathway","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Chain-of-custody medico-legal specimens","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Chlamydia trachomatis, Neisseria gonorrhoea, Trichomonas vaginalis, Mycoplasma genitalium NAATs","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Chloride","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cholesterol","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cholinesterase","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Chromium","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Chronic lymphocytic/lymphoma panel","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Ciclosporin","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CK","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Clostridium difficile GDH and Toxin","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CMV (cytomegalovirus) antiviral resistance markers","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CMV (cytomegalovirus) IgG","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CMV (cytomegalovirus) IgG avidity","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CMV (Cytomegalovirus) IgM","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CMV (cytomegalovirus) viral load","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cobalt","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Coccidioides (referral)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Coeliac Disease Antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cold agglutinin titres (4°C)","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Complement C3","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Complement C4","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Contact lens","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Copper (blood and urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cord blood investigations","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Corneal Scrape (Bacteriology)","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Corneal Scrape (Virology)","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Coronavirus COVID-19 Testing for SARS-CoV-2","Molecular Microbiology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cortisol","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"CPE screen","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"C-peptide","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Creatine Kinase","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Creatinine (blood and urine)","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Creatinine clearance","Biochemistry / Chemical Pathology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Crithidia antibodies","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cross matching","Haematology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cryoglobulins","Immunology / Serology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cryptococcal antigen","Mycology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cryptococcus antigen","Virology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
"Cryptosporidium","Microbiology / Bacteriology","laboratory","Manchester University NHS Foundation Trust A-Z Laboratory Tests"
